File,ID,Decoded_English,Chinese_Translation,Original_Array
017B.es,1,THIS IS NOT A VALID SIGN,,"""THIS IS"", ""NOT A"", ""VALID"", ""SIGN"""
017B.es,2,drink at / the gilded lizard,,"""drink"", ""at|(e"", ""gilded"", ""lizard"""
017B.es,3,skara brae~ ~population 47,,"""skara"", ""brae~"", ""~population"", ""47"""
017B.es,4,trinsic,,"""trinsic"""
017B.es,5,the honorable hound,,"""(e"", ""honorable"", ""hound"""
017B.es,6,FELLOWSHIP HALL,,"""FELLOWSHIP"", ""HALL"""
017B.es,7,britain,,"""britain"""
017B.es,8,COMING: RAYMUNDO'S @TRIALS OF THE AVATAR@,,"""COMING:"", ""RAYMUNDO'S"", ""@TRIALS OF"", ""THE AVATAR@"""
017B.es,9,RESERVE THY SEATS NOW,,"""RESERVE"", ""THY"", ""SEATS"", ""NOW"""
017B.es,10,royal museum,,"""royal"", ""museum"""
017B.es,11,the music hall,,"""(e"", ""music"", ""hall"""
017B.es,12,the wayfarer's inn,,"""(e"", ""wayfarer's"", ""inn"""
017B.es,13,iolos bows,,"""iolos"", ""bows"""
017B.es,14,the blue boar,,"""(e"", ""blue"", ""boar"""
017B.es,15,gayes clothiers,,"""gayes"", ""clo(iers"""
017B.es,16,north ngar armoury,,"""nor("", "",ar"", ""armoury"""
017B.es,17,the oaken oar,,"""(e"", ""oaken"", ""oar"""
017B.es,18,bakery,,"""bakery"""
017B.es,19,jeweler,,"""jeweler"""
017B.es,20,farmers market,,"""farmers"", ""market"""
017B.es,21,apothecary,,"""apo(ecary"""
017B.es,22,royal mint,,"""royal"", ""mint"""
017B.es,23,csil the h+ler,,"""csil"", ""(e"", ""h+ler"""
017B.es,24,provisions,,"""provisions"""
017B.es,25,royal orchards,,"""royal"", ""orchards"""
017B.es,26,TEST OF STRENGTH  --  ART THOU AN AVATAR?,,"""TEST OF STRENGTH"", "" -- "", ""ART THOU AN AVATAR?"""
017B.es,27,punch and judy show,,"""punch and"", ""judy"", ""show"""
017B.es,28,fish / n / chips,,"""fish|n|chips"""
017B.es,29,cove,,"""cove"""
017B.es,30,the emerald,,"""(e"", ""emerald"""
017B.es,31,out / n / inn,,"""out|n|inn"""
017B.es,32,lovers walk,,"""lovers"", ""walk"""
017B.es,33,buccaneers den,,"""buccaneers"", ""den"""
017B.es,34,house of games,,"""house"", ""of"", ""games"""
017B.es,35,the fallen virgin,,"""(e"", ""fallen"", ""virgin"""
017B.es,36,MEDITATION RETREAT,,"""MEDITATION"", ""RETREAT"""
017B.es,37,GO THIS WAY,,"""GO THIS WAY"""
017B.es,38,lycaeum,,"""lycaeum"""
017B.es,39,the hallowed dock,,"""(e"", ""hallowed"", ""dock"""
017B.es,40,the friendly knave,,"""(e"", ""friendly"", ""knave"""
