npc_name,city,voice_id,voice_name,preview_url,assigned_at
Abraham,Endgame,agL69Vji082CshT65Tcy,"Blackwood - Sinister, Posh and British",https://storage.googleapis.com/eleven-public-prod/database/workspace/bfad24883ac04636b8b51cc683f75efb/voices/agL69Vji082CshT65Tcy/I9Wu7PEzYWb9jPLPThRB.mp3,2026-04-18 20:48:31
Addom,Moonglow,DikmR0aoFXAp1A3NcovW,"Sam - Soft, Slightly Welsh and Friendly",https://storage.googleapis.com/eleven-public-prod/database/workspace/9f05f979c72340768947b6ee73911a61/voices/DikmR0aoFXAp1A3NcovW/ed9a9c15-edcf-492a-aff4-b3222f19659b.mp3,2026-04-18 20:51:28
Adjhar,Forge of Virtue,X2295PCUkl7636D0KoSI,"Lucifer - Deep, Low and Growly",https://storage.googleapis.com/eleven-public-prod/custom/voices/X2295PCUkl7636D0KoSI/z3X7eEwQdjzSJGH8K6U0.mp3,2026-04-19 01:36:17
Aimi,Yew,dTmTLshIypwp08eftJH6,Sylvie,https://storage.googleapis.com/eleven-public-prod/database/workspace/2745eef50b3b4588bfe24462680afd3b/voices/dTmTLshIypwp08eftJH6/CwCSg0ZnavoyYD3Z8Iz6.mp3,2026-04-18 23:58:38
Alagner,New Magincia,0SpgpJ4D3MpHCiWdyTg3,"Matthew Schmitz - Elitist, Arrogant, Conniving Tyrant",https://storage.googleapis.com/eleven-public-prod/database/workspace/d309ea25683d4d97b92e44772a430c74/voices/0SpgpJ4D3MpHCiWdyTg3/jeBADcJaT9DvZP2cOlpx.mp3,2026-04-19 00:21:39
Alina,Paws,Zud7UVz6aX7VRZfxe9nP,Beatrice,https://storage.googleapis.com/eleven-public-prod/database/workspace/0ba6adf3c96c4fd2ad160da7dcd8346d/voices/Zud7UVz6aX7VRZfxe9nP/TKQ5AOkNY5dZu6a1mK9h.mp3,2026-04-18 22:45:53
Amanda,Dagger Isle,GsjQ0ydx7QzhDLqInGtT,"Olivia - Suspenseful, British and Calm",https://storage.googleapis.com/eleven-public-prod/database/workspace/ed9b05e6324c457685490352e9a1ec90/voices/GsjQ0ydx7QzhDLqInGtT/MXzapEirnCIyb8hqqHzq.mp3,2026-04-19 02:04:21
Amber,Britain,GPTk4QbvF7snDhImF5UF,Lucie - Clear and Professional Actress,https://storage.googleapis.com/eleven-public-prod/database/workspace/6164eca380434d80b03904bfb2efe0ab/voices/GPTk4QbvF7snDhImF5UF/4SzX78tlaDCaedFv7Ng1.mp3,2026-04-18 20:27:24
Andrew,Paws,TUupbYgkrwMXwMB2cmVJ,Robert - British Explainer Voice ,https://storage.googleapis.com/eleven-public-prod/database/workspace/502d264ccfcc4609a647a17b2d12e11a/voices/TUupbYgkrwMXwMB2cmVJ/EeIEURcZDIr9X72gEI3h.mp3,2026-04-18 22:46:13
Anmanivas,Vesper,xHxp1c5pQOzhWjBqV78M,Garrison - Rugged and Stoic,https://storage.googleapis.com/eleven-public-prod/database/workspace/1da06ea679a54975ad96a2221fe6530d/voices/xHxp1c5pQOzhWjBqV78M/ewG0kUzbhCSLSUU21CsP.mp3,2026-04-19 01:05:43
