npc_name,wiki_title,wiki_url,status,notes
Abraham,Abraham,https://wiki.ultimacodex.com/wiki/Abraham,found,
Addom,Addom,https://wiki.ultimacodex.com/wiki/Addom,found,
Adjhar,Adjhar,https://wiki.ultimacodex.com/wiki/Adjhar,found,
Aimi,Aimi,https://wiki.ultimacodex.com/wiki/Aimi,found,
Alagner,Alagner,https://wiki.ultimacodex.com/wiki/Alagner,found,
Alina,Alina,https://wiki.ultimacodex.com/wiki/Alina,found,
Amanda,Amanda,https://wiki.ultimacodex.com/wiki/Amanda,found,
Amber,Amber,https://wiki.ultimacodex.com/wiki/Amber,found,
Andrew,Andrew,https://wiki.ultimacodex.com/wiki/Andrew,found,
Anmanivas,Anmanivas,https://wiki.ultimacodex.com/wiki/Anmanivas,found,
Ansikart,Ansikart,https://wiki.ultimacodex.com/wiki/Ansikart,found,
Anton,Anton,https://wiki.ultimacodex.com/wiki/Anton,found,
Apollonia,Apollonia,https://wiki.ultimacodex.com/wiki/Apollonia,found,
Arcadion,Arcadion,https://wiki.ultimacodex.com/wiki/Arcadion,found,
Aurvidlem,Aurvidlem,https://wiki.ultimacodex.com/wiki/Aurvidlem,found,
Auston,Auston,https://wiki.ultimacodex.com/wiki/Auston,found,
Avatar,,,skip,in SKIP list
Balayna,Balayna,https://wiki.ultimacodex.com/wiki/Balayna,found,
Batlin,Batlin,https://wiki.ultimacodex.com/wiki/Batlin,found,
Battles,Battles,https://wiki.ultimacodex.com/wiki/Battles,found,
Ben,Ben,https://wiki.ultimacodex.com/wiki/Ben,found,
Bennie,Bennie,https://wiki.ultimacodex.com/wiki/Bennie,found,
Betra,Betra,https://wiki.ultimacodex.com/wiki/Betra,found,
Beverlea,Beverlea,https://wiki.ultimacodex.com/wiki/Beverlea,found,
Blacktooth,Blacktooth,https://wiki.ultimacodex.com/wiki/Blacktooth,found,
Blorn,Blorn,https://wiki.ultimacodex.com/wiki/Blorn,found,
Bollux,Bollux,https://wiki.ultimacodex.com/wiki/Bollux,found,
Boots,Boots,https://wiki.ultimacodex.com/wiki/Boots,found,
Boris,Boris,https://wiki.ultimacodex.com/wiki/Boris,found,
Bradman,Bradman,https://wiki.ultimacodex.com/wiki/Bradman,found,
Brion,Brion,https://wiki.ultimacodex.com/wiki/Brion,found,
Brita,Brita,https://wiki.ultimacodex.com/wiki/Brita,found,
Brownie,Brownie,https://wiki.ultimacodex.com/wiki/Brownie,found,
Budo,Budo (U7),https://wiki.ultimacodex.com/wiki/Budo_%28U7%29,manual,"manual, disambig picked U7 variant"
Burnside,Burnside,https://wiki.ultimacodex.com/wiki/Burnside,found,
Cador,Cador,https://wiki.ultimacodex.com/wiki/Cador,found,
Caine,Caine,https://wiki.ultimacodex.com/wiki/Caine,found,
Cairbre,Cairbre,https://wiki.ultimacodex.com/wiki/Cairbre,found,
Camille,Camille,https://wiki.ultimacodex.com/wiki/Camille,found,
Candice,Candice,https://wiki.ultimacodex.com/wiki/Candice,found,
Carlyn,Carlyn,https://wiki.ultimacodex.com/wiki/Carlyn,found,
Caroline,Caroline,https://wiki.ultimacodex.com/wiki/Caroline,found,
Carrocio,Carrocio,https://wiki.ultimacodex.com/wiki/Carrocio,found,
