base_output	speaker	speaker_npc
0401_9e0_0.ogg	Dupre	4
0403_3de_0.ogg	Dupre	4
0406_13e_0.ogg	Dupre	4
040b_175_0.ogg	Iolo	1
0415_811_0.ogg	Iolo	1
0416_133_0.ogg	Iolo	1
0416_445_0.ogg	Iolo	1
041e_27f_0.ogg	Iolo	1
042f_818_0.ogg	Dupre	4
0431_3f2_0.ogg	Dupre	4
0432_206_0.ogg	Lenora	18
0432_389_0.ogg	Lenora	18
0432_3e1_0.ogg	Lenora	18
0432_451_0.ogg	Lenora	18
0432_64_0.ogg	Lenora	18
0432_ac3_0.ogg	Lenora	18
0435_125d_0.ogg	Shamino	3
0436_324_0.ogg	Jaana	5
0437_108b_0.ogg	Dupre	4
0437_10b4_0.ogg	Dupre	4
0437_1127_0.ogg	Shamino	3
0437_117a_0.ogg	Dupre	4
0437_124f_0.ogg	Dupre	4
0437_12a8_0.ogg	Iolo	1
0437_12ec_0.ogg	Shamino	3
0437_136d_0.ogg	Shamino	3
0437_138e_0.ogg	Dupre	4
0437_141_0.ogg	Morfin	172
0437_141c_0.ogg	Dupre	4
0437_1775_0.ogg	Dupre	4
0437_1e9_0.ogg	Morfin	172
0437_c5_0.ogg	Morfin	172
043b_44e_0.ogg	Shamino	3
043e_a09_0.ogg	Shamino	3
043e_a35_0.ogg	Shamino	3
0442_31f_0.ogg	Iolo	1
0442_669_0.ogg	Stelnar	67
0442_79b_0.ogg	Stelnar	67
0443_48c_0.ogg	Van Kellian	66
0443_4c0_0.ogg	Van Kellian	66
0443_58c_0.ogg	Van Kellian	66
0447_318_0.ogg	Lazeena	28
0447_349_0.ogg	Lazeena	28
0447_3b0_0.ogg	Lazeena	28
0447_416_0.ogg	Lazeena	28
0447_47d_0.ogg	Lazeena	28
044b_28e_0.ogg	Michael	76
044b_32e_0.ogg	Michael	76
044b_4c7_0.ogg	Dupre	4
044b_554_0.ogg	Iolo	1
044b_5f7_0.ogg	Shamino	3
044b_7d3_0.ogg	Dupre	4
044b_840_0.ogg	Michael	76
044b_a52_0.ogg	Michael	76
044b_ad0_0.ogg	Michael	76
044b_b3a_0.ogg	Michael	76
044b_c8c_0.ogg	Michael	76
044b_cdb_0.ogg	Michael	76
044c_0_0.ogg	Renthar	101
044c_10e4_0.ogg	Renthar	101
044c_12e_0.ogg	Renthar	101
044c_29b_0.ogg	Renthar	101
044c_325_0.ogg	Renthar	101
0457_73b_0.ogg	Iolo	1
0458_718_0.ogg	Gwenno	87
0458_96c_0.ogg	Iolo	1
0471_1ad_0.ogg	Iolo	1
0471_2cd_0.ogg	Dupre	4
0471_30a_0.ogg	Dupre	4
0471_5e2_0.ogg	Iolo	1
0471_638_0.ogg	Iolo	1
0471_698_0.ogg	Dupre	4
0472_431_0.ogg	Dupre	4
047f_272_0.ogg	Sherry	6
0480_8af_0.ogg	Sherry	6
0488_8f_0.ogg	Iolo	1
048b_14e_0.ogg	Iolo	1
048b_2f7_0.ogg	Iolo	1
0495_5d0_0.ogg	Dupre	4
0495_605_0.ogg	Iolo	1
0496_929_0.ogg	Dupre	4
049a_2a_0.ogg	Manrel	157
04b4_4b4_0.ogg	Dupre	4
04b9_120_0.ogg	Iolo	1
04b9_611_0.ogg	Iolo	1
04b9_633_0.ogg	Iolo	1
04bf_5c4_0.ogg	Iolo	1
04bf_668_0.ogg	Iolo	1
04bf_6a8_0.ogg	Iolo	1
04bf_6d2_0.ogg	Iolo	1
04bf_71d_0.ogg	Iolo	1
04bf_74e_0.ogg	Iolo	1
04bf_793_0.ogg	Iolo	1
04bf_7c7_0.ogg	Iolo	1
04bf_809_0.ogg	Iolo	1
04bf_850_0.ogg	Iolo	1
04bf_873_0.ogg	Iolo	1
04bf_87b_0.ogg	Iolo	1
04bf_8c2_0.ogg	Iolo	1
04bf_904_0.ogg	Iolo	1
04bf_957_0.ogg	Iolo	1
04bf_988_0.ogg	Iolo	1
04bf_9c2_0.ogg	Iolo	1
04bf_a10_0.ogg	Iolo	1
04bf_a43_0.ogg	Iolo	1
04bf_a62_0.ogg	Iolo	1
04bf_a7f_0.ogg	Iolo	1
04dd_7ea_0.ogg	Leonna	223
04dd_8be_0.ogg	Captain Elad	226
04df_826_0.ogg	Captain Fox	224
04e0_486_0.ogg	Leodon	221
04e2_447_0.ogg	Leonna	223
04e5_27a_0.ogg	Dupre	4
04ee_112_0.ogg	Dupre	4
04ee_25d_0.ogg	Sherry	6
04ee_306_0.ogg	Dupre	4
04ee_372_0.ogg	Shamino	3
04f1_212_0.ogg	Iolo	1
04fe_264_0.ogg	Shamino	3
04fe_300_0.ogg	Dupre	4
